Max Temp,Min Temp,SqDif,SqDif
-18.3,-28.3,806.315956,681.3527419
-4.5,-18.5,213.0345497,265.7791481
3.8,-6.3,39.63587784,16.83242935
1.5,-9.6,73.88611221,54.80047623
-2.1,-9.5,148.7351747,53.32992935
-2.7,-12.3,163.7300185,102.0652419
0.6,-8.4,90.16837784,38.47391373
-8.3,-16.5,338.4018935,204.5682106
-15.5,-19.3,655.1400185,292.5035231
-9,-15.7,364.6458778,182.3238356
-9.1,-13.7,368.4750185,132.3128981
-5.6,-13.8,246.3550966,134.623445
-5.1,-7,230.9093935,23.06625748
-6.4,-11.4,272.1082216,84.69031998
-3.7,-23.5,190.3214247,453.8064919
-18.8,-27.8,834.9616591,655.5000075
-17.9,-27.4,783.7593935,635.17782
-25.7,-30.2,1281.332362,784.1531325
-25,-31.9,1231.708378,882.2524294
-22.2,-33.2,1043.01244,961.1695387
-11.5,-23.2,466.3743935,441.1148512
-10.4,-14.3,420.0738466,146.4761794
-9.4,-19.6,380.0824403,302.8551637
-19.6,-29,881.8347841,718.38657
-24.3,-33.2,1183.064393,961.1695387
-23.7,-32.7,1142.14955,930.4168044
-19.1,-30.8,852.389081,818.1164137
-18.4,-26.7,812.0050966,600.3839919
-26.5,-38.5,1339.245487,1317.888523
-29.8,-39.9,1591.667128,1421.496179
-21.5,-34.5,998.288456,1043.466648
-11.4,-21.9,462.0652528,388.1977419
-14.1,-17.8,585.4320497,243.44532
-17.7,-22.3,772.6011122,404.1199294
-20.7,-28.2,948.375331,676.142195
-20.9,-29.2,960.7336122,729.1476637
-18.8,-22.1,834.9616591,396.1188356
-21.6,-27.2,1004.617597,625.1367262
-21,-30.8,966.9427528,818.1164137
-22.6,-31.9,1069.009003,882.2524294
-20.6,-33.8,942.2261903,998.73282
-9.2,-26.6,372.3241591,595.493445
-8.4,-20.9,342.0910341,349.7922731
-13.6,-22.5,561.4863466,412.2010231
-15.8,-24.4,670.5874403,492.9614137
-16.7,-27.8,718.009706,655.5000075
-13.9,-26.8,575.7937685,605.2945387
-13.6,-23.1,561.4863466,436.9243044
-17.6,-25.4,767.0519716,538.3668825
-14.4,-25.1,600.0394716,524.5352419
-6.9,-18.9,288.8539247,278.9813356
-9.5,-18.8,383.991581,275.6507887
-10.8,-18.6,436.6304091,269.049695
-9.4,-18.6,380.0824403,269.049695
-10.7,-29.4,432.4612685,739.9887575
-17.8,-32.4,778.1702528,912.2051637
-16.2,-29.6,691.4640028,750.9098512
-10.9,-22.5,440.8195497,412.2010231
-9.2,-24.1,372.3241591,479.7297731
-12.6,-26.5,515.0949403,590.6228981
-19.3,-27.5,864.1073622,640.2283669
